# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H4	H1x	H5	H2x	-13.806511
0	2	H4	H1x	H6	H3x	-11.738016
0	3	H4	H1x	H7	H4x	2.425251
0	4	H4	H1x	H8	H5x	9.236408
0	5	H4	H1x	H9	H6x	-1.121210
1	2	H5	H2x	H6	H3x	-11.589154
1	3	H5	H2x	H7	H4x	1.513799
1	4	H5	H2x	H8	H5x	1.495298
1	5	H5	H2x	H9	H6x	1.351533
2	3	H6	H3x	H7	H4x	9.253770
2	4	H6	H3x	H8	H5x	3.792113
2	5	H6	H3x	H9	H6x	-1.209940
3	4	H7	H4x	H8	H5x	-7.896322
3	5	H7	H4x	H9	H6x	2.744477
4	5	H8	H5x	H9	H6x	-1.235947
