# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	175.371724	18.528313
1	C2x	C	136.633768	57.266269
2	O1x	O	294.807180	nan
3	H1x	H	30.365789	1.251206
4	H2x	H	30.631727	0.985269
5	H3x	H	30.704305	0.912690
6	H4x	H	28.163549	3.453447
7	H5x	H	28.100892	3.516103
8	H6x	H	31.538909	0.078087
