# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H4	H1x	H5	H2x	-12.891890
0	2	H4	H1x	H6	H3x	-14.301081
0	3	H4	H1x	H7	H4x	9.628918
0	4	H4	H1x	H8	H5x	4.219485
0	5	H4	H1x	H9	H6x	0.313188
1	2	H5	H2x	H6	H3x	-12.895273
1	3	H5	H2x	H7	H4x	1.931558
1	4	H5	H2x	H8	H5x	9.136816
1	5	H5	H2x	H9	H6x	-0.591970
2	3	H6	H3x	H7	H4x	2.121345
2	4	H6	H3x	H8	H5x	0.442816
2	5	H6	H3x	H9	H6x	-1.372514
3	4	H7	H4x	H8	H5x	-8.732464
3	5	H7	H4x	H9	H6x	8.619801
4	5	H8	H5x	H9	H6x	1.688848
