# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	163.541322	18.804840
1	C2x	C	118.997223	63.348939
2	O1x	O	293.487410	nan
3	H1x	H	30.548229	1.345018
4	H2x	H	30.917055	0.976193
5	H3x	H	30.291689	1.601558
6	H4x	H	28.113334	3.779914
7	H5x	H	27.410041	4.483207
8	H6x	H	31.454118	0.439129
