# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	175.312239	18.587797
1	C2x	C	136.042479	57.857557
2	O1x	O	290.905010	nan
3	H1x	H	30.799240	0.817756
4	H2x	H	30.326893	1.290102
5	H3x	H	30.732172	0.884823
6	H4x	H	28.021574	3.595422
7	H5x	H	27.903222	3.713773
8	H6x	H	31.915227	-0.298231
