# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	76.782951	117.117085
1	C2x	C	70.228001	123.672035
2	C3x	C	77.959343	115.940694
3	C4x	C	47.273525	146.626511
4	C5x	C	65.533749	128.366287
5	C6x	C	77.396376	116.503661
6	C7x	C	136.742516	57.157521
7	C8x	C	150.457527	43.442509
8	C9x	C	143.129133	50.770904
9	N1x	N	231.733360	nan
10	C10x	C	138.616769	55.283268
11	C11x	C	165.522968	28.377069
12	C12x	C	162.200226	31.699811
13	C13x	C	143.650163	50.249873
14	C14x	C	137.872100	56.027936
15	N2x	N	112.844877	nan
16	C15x	C	24.813415	169.086621
17	O1x	O	-134.400528	nan
18	C16x	C	150.254424	43.645612
19	C17x	C	116.663964	77.236072
20	O2x	O	281.732349	nan
21	C18x	C	132.551375	61.348662
22	C19x	C	61.109677	132.790359
23	C20x	C	48.617614	145.282422
24	C21x	C	145.712155	48.187881
25	H1x	H	24.673553	6.943442
26	H2x	H	24.568603	7.048393
27	H3x	H	23.609580	8.007416
28	H4x	H	24.684704	6.932292
29	H5x	H	29.465324	2.151672
30	H6x	H	29.291332	2.325664
31	H7x	H	28.472464	3.144531
32	H8x	H	28.847768	2.769228
33	H9x	H	27.839289	3.777707
34	H10x	H	29.485611	2.131384
35	H11x	H	30.166893	1.450103
36	H12x	H	29.017990	2.599006
37	H13x	H	30.571022	1.045974
38	H14x	H	28.163680	3.453316
39	H15x	H	28.972377	2.644618
40	H16x	H	28.535939	3.081057
41	H17x	H	27.736563	3.880433
42	H18x	H	27.946345	3.670650
43	H19x	H	27.672644	3.944352
44	H20x	H	25.841395	5.775601
45	H21x	H	28.982553	2.634442
46	H22x	H	27.991279	3.625716
