# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H26	H1x	H27	H2x	4.206972
5	20	H31	H6x	H46	H21x	-0.009920
5	21	H31	H6x	H47	H22x	-0.375977
6	7	H32	H7x	H33	H8x	-9.965867
6	8	H32	H7x	H34	H9x	-0.059725
6	9	H32	H7x	H35	H10x	-0.233269
6	10	H32	H7x	H36	H11x	-0.347532
6	11	H32	H7x	H37	H12x	-0.338288
6	12	H32	H7x	H38	H13x	-0.287328
6	13	H32	H7x	H39	H14x	-0.019853
6	14	H32	H7x	H40	H15x	-0.209185
6	15	H32	H7x	H41	H16x	-0.235292
6	16	H32	H7x	H42	H17x	-0.251203
6	17	H32	H7x	H43	H18x	-0.215904
6	18	H32	H7x	H44	H19x	-0.190711
6	19	H32	H7x	H45	H20x	-0.202860
6	20	H32	H7x	H46	H21x	-0.387928
6	21	H32	H7x	H47	H22x	-0.576183
7	8	H33	H8x	H34	H9x	-1.214263
7	9	H33	H8x	H35	H10x	-0.215687
7	10	H33	H8x	H36	H11x	-0.014776
7	11	H33	H8x	H37	H12x	-0.322620
7	12	H33	H8x	H38	H13x	-0.283266
7	13	H33	H8x	H39	H14x	0.486705
7	14	H33	H8x	H40	H15x	-0.075427
7	15	H33	H8x	H41	H16x	-0.195051
7	16	H33	H8x	H42	H17x	-0.204469
7	17	H33	H8x	H43	H18x	-0.133405
7	18	H33	H8x	H44	H19x	0.008098
7	19	H33	H8x	H45	H20x	0.403325
7	20	H33	H8x	H46	H21x	0.402359
7	21	H33	H8x	H47	H22x	-0.636579
8	9	H34	H9x	H35	H10x	2.537000
8	10	H34	H9x	H36	H11x	2.321252
8	11	H34	H9x	H37	H12x	-0.325410
8	12	H34	H9x	H38	H13x	0.144776
8	13	H34	H9x	H39	H14x	-0.528828
8	14	H34	H9x	H40	H15x	-0.265469
8	15	H34	H9x	H41	H16x	-0.209540
8	16	H34	H9x	H42	H17x	-0.251612
8	17	H34	H9x	H43	H18x	-0.257013
8	18	H34	H9x	H44	H19x	-0.324708
8	19	H34	H9x	H45	H20x	-0.353014
8	20	H34	H9x	H46	H21x	-0.634882
8	21	H34	H9x	H47	H22x	0.346223
9	10	H35	H10x	H36	H11x	-14.790032
9	11	H35	H10x	H37	H12x	2.950758
9	12	H35	H10x	H38	H13x	0.271002
9	13	H35	H10x	H39	H14x	-0.298306
9	14	H35	H10x	H40	H15x	-0.242164
9	15	H35	H10x	H41	H16x	-0.138211
9	16	H35	H10x	H42	H17x	-0.157621
9	17	H35	H10x	H43	H18x	-0.069513
9	18	H35	H10x	H44	H19x	-0.265214
9	19	H35	H10x	H45	H20x	-0.254446
9	20	H35	H10x	H46	H21x	-0.397955
9	21	H35	H10x	H47	H22x	0.280291
10	11	H36	H11x	H37	H12x	1.543963
10	12	H36	H11x	H38	H13x	0.554381
10	13	H36	H11x	H39	H14x	-0.302993
10	14	H36	H11x	H40	H15x	-0.226791
10	15	H36	H11x	H41	H16x	0.036434
10	16	H36	H11x	H42	H17x	0.128705
10	17	H36	H11x	H43	H18x	-0.124740
10	18	H36	H11x	H44	H19x	-0.321271
10	19	H36	H11x	H45	H20x	0.210049
10	20	H36	H11x	H46	H21x	-0.608723
10	21	H36	H11x	H47	H22x	-0.253371
11	12	H37	H12x	H38	H13x	2.381656
11	13	H37	H12x	H39	H14x	-0.781112
11	14	H37	H12x	H40	H15x	0.269334
11	15	H37	H12x	H41	H16x	0.198654
11	16	H37	H12x	H42	H17x	0.687967
11	17	H37	H12x	H43	H18x	1.666593
11	18	H37	H12x	H44	H19x	-0.154790
11	19	H37	H12x	H45	H20x	-3.978620
11	20	H37	H12x	H46	H21x	-0.988575
11	21	H37	H12x	H47	H22x	-1.608475
12	13	H38	H13x	H39	H14x	6.280006
12	14	H38	H13x	H40	H15x	0.056996
12	15	H38	H13x	H41	H16x	0.375286
12	16	H38	H13x	H42	H17x	1.547274
12	17	H38	H13x	H43	H18x	-0.094876
12	18	H38	H13x	H44	H19x	-0.158783
12	19	H38	H13x	H45	H20x	-0.372275
12	20	H38	H13x	H46	H21x	-0.013410
12	21	H38	H13x	H47	H22x	-0.245912
13	14	H39	H14x	H40	H15x	0.247733
13	15	H39	H14x	H41	H16x	-0.217866
13	16	H39	H14x	H42	H17x	-0.450252
13	17	H39	H14x	H43	H18x	-0.182723
13	18	H39	H14x	H44	H19x	-0.051871
13	19	H39	H14x	H45	H20x	0.295260
13	20	H39	H14x	H46	H21x	0.204035
13	21	H39	H14x	H47	H22x	-0.261558
14	15	H40	H15x	H41	H16x	-18.016631
14	16	H40	H15x	H42	H17x	0.042146
14	17	H40	H15x	H43	H18x	-0.210885
14	18	H40	H15x	H44	H19x	-0.013590
14	19	H40	H15x	H45	H20x	-0.132517
14	20	H40	H15x	H46	H21x	-0.156512
14	21	H40	H15x	H47	H22x	-0.213416
15	16	H41	H16x	H42	H17x	6.572667
15	17	H41	H16x	H43	H18x	-0.123440
15	18	H41	H16x	H44	H19x	-0.234097
15	19	H41	H16x	H45	H20x	-0.263260
15	20	H41	H16x	H46	H21x	-0.223163
15	21	H41	H16x	H47	H22x	-0.166732
16	17	H42	H17x	H43	H18x	0.673803
16	18	H42	H17x	H44	H19x	-0.716002
16	19	H42	H17x	H45	H20x	-0.419949
16	20	H42	H17x	H46	H21x	-0.254595
16	21	H42	H17x	H47	H22x	-0.128914
17	18	H43	H18x	H44	H19x	-12.402068
17	19	H43	H18x	H45	H20x	3.115619
17	20	H43	H18x	H46	H21x	-0.108530
17	21	H43	H18x	H47	H22x	1.226922
18	19	H44	H19x	H45	H20x	4.766428
18	20	H44	H19x	H46	H21x	-0.100326
18	21	H44	H19x	H47	H22x	-0.220504
19	20	H45	H20x	H46	H21x	0.439771
19	21	H45	H20x	H47	H22x	-1.894977
20	21	H46	H21x	H47	H22x	-9.157379
