# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H26	H1x	H27	H2x	4.206972
0	2	H26	H1x	H28	H3x	0.240636
0	3	H26	H1x	H29	H4x	5.309472
0	4	H26	H1x	H30	H5x	-0.060114
0	5	H26	H1x	H31	H6x	-0.268393
0	6	H26	H1x	H32	H7x	-0.048351
0	7	H26	H1x	H33	H8x	-0.174717
0	8	H26	H1x	H34	H9x	0.022590
0	9	H26	H1x	H35	H10x	-0.100250
0	10	H26	H1x	H36	H11x	-0.025772
0	11	H26	H1x	H37	H12x	-0.170652
0	12	H26	H1x	H38	H13x	-0.110484
0	13	H26	H1x	H39	H14x	-0.339147
0	14	H26	H1x	H40	H15x	-0.297463
0	15	H26	H1x	H41	H16x	-0.192649
0	16	H26	H1x	H42	H17x	-0.172598
0	17	H26	H1x	H43	H18x	-0.154615
0	18	H26	H1x	H44	H19x	-0.170369
0	19	H26	H1x	H45	H20x	-0.157038
0	20	H26	H1x	H46	H21x	-0.167401
0	21	H26	H1x	H47	H22x	-0.130257
1	2	H27	H2x	H28	H3x	5.521166
1	3	H27	H2x	H29	H4x	0.001485
1	4	H27	H2x	H30	H5x	-0.167083
1	5	H27	H2x	H31	H6x	-0.165236
1	6	H27	H2x	H32	H7x	-0.194315
1	7	H27	H2x	H33	H8x	-0.249196
1	8	H27	H2x	H34	H9x	-0.135681
1	9	H27	H2x	H35	H10x	-0.228635
1	10	H27	H2x	H36	H11x	-0.103256
1	11	H27	H2x	H37	H12x	-0.164320
1	12	H27	H2x	H38	H13x	-0.099443
1	13	H27	H2x	H39	H14x	-0.190556
1	14	H27	H2x	H40	H15x	-0.141512
1	15	H27	H2x	H41	H16x	-0.126800
1	16	H27	H2x	H42	H17x	-0.174021
1	17	H27	H2x	H43	H18x	-0.154341
1	18	H27	H2x	H44	H19x	-0.165024
1	19	H27	H2x	H45	H20x	-0.166923
1	20	H27	H2x	H46	H21x	-0.189047
1	21	H27	H2x	H47	H22x	-0.184737
2	3	H28	H3x	H29	H4x	0.145797
2	4	H28	H3x	H30	H5x	-0.159066
2	5	H28	H3x	H31	H6x	-0.114681
2	6	H28	H3x	H32	H7x	-0.221656
2	7	H28	H3x	H33	H8x	-0.171535
2	8	H28	H3x	H34	H9x	-0.284299
2	9	H28	H3x	H35	H10x	-0.208971
2	10	H28	H3x	H36	H11x	-0.074506
2	11	H28	H3x	H37	H12x	-0.168943
2	12	H28	H3x	H38	H13x	0.035819
2	13	H28	H3x	H39	H14x	-0.296467
2	14	H28	H3x	H40	H15x	-0.239422
2	15	H28	H3x	H41	H16x	-0.052578
2	16	H28	H3x	H42	H17x	-0.179273
2	17	H28	H3x	H43	H18x	-0.165232
2	18	H28	H3x	H44	H19x	-0.175224
2	19	H28	H3x	H45	H20x	-0.173040
2	20	H28	H3x	H46	H21x	-0.194639
2	21	H28	H3x	H47	H22x	-0.208736
3	4	H29	H4x	H30	H5x	0.533188
3	5	H29	H4x	H31	H6x	-0.089205
3	6	H29	H4x	H32	H7x	0.262270
3	7	H29	H4x	H33	H8x	-0.186724
3	8	H29	H4x	H34	H9x	0.811917
3	9	H29	H4x	H35	H10x	-0.012514
3	10	H29	H4x	H36	H11x	0.147843
3	11	H29	H4x	H37	H12x	-0.162552
3	12	H29	H4x	H38	H13x	-0.063028
3	13	H29	H4x	H39	H14x	-0.153513
3	14	H29	H4x	H40	H15x	-0.204423
3	15	H29	H4x	H41	H16x	-0.186690
3	16	H29	H4x	H42	H17x	-0.190844
3	17	H29	H4x	H43	H18x	-0.158921
3	18	H29	H4x	H44	H19x	-0.177804
3	19	H29	H4x	H45	H20x	-0.133946
3	20	H29	H4x	H46	H21x	-0.132136
3	21	H29	H4x	H47	H22x	-0.063679
4	5	H30	H5x	H31	H6x	-17.102351
4	6	H30	H5x	H32	H7x	7.702835
4	7	H30	H5x	H33	H8x	2.372228
4	8	H30	H5x	H34	H9x	-0.054466
4	9	H30	H5x	H35	H10x	-0.258283
4	10	H30	H5x	H36	H11x	-0.235231
4	11	H30	H5x	H37	H12x	-0.399607
4	12	H30	H5x	H38	H13x	-0.244277
4	13	H30	H5x	H39	H14x	-0.241475
4	14	H30	H5x	H40	H15x	-0.176548
4	15	H30	H5x	H41	H16x	-0.247705
4	16	H30	H5x	H42	H17x	-0.228490
4	17	H30	H5x	H43	H18x	-0.254024
4	18	H30	H5x	H44	H19x	-0.207400
4	19	H30	H5x	H45	H20x	-0.169758
4	20	H30	H5x	H46	H21x	-0.189474
4	21	H30	H5x	H47	H22x	-0.165661
5	6	H31	H6x	H32	H7x	5.622999
5	7	H31	H6x	H33	H8x	8.414325
5	8	H31	H6x	H34	H9x	-0.656449
5	9	H31	H6x	H35	H10x	0.008499
5	10	H31	H6x	H36	H11x	-0.272560
5	11	H31	H6x	H37	H12x	-0.287913
5	12	H31	H6x	H38	H13x	-0.230036
5	13	H31	H6x	H39	H14x	0.721012
5	14	H31	H6x	H40	H15x	0.030767
5	15	H31	H6x	H41	H16x	-0.188178
5	16	H31	H6x	H42	H17x	-0.160410
5	17	H31	H6x	H43	H18x	-0.161881
5	18	H31	H6x	H44	H19x	-0.028445
5	19	H31	H6x	H45	H20x	0.164478
