# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H26	H1x	H27	H2x	4.744219
0	2	H26	H1x	H28	H3x	-0.149764
0	3	H26	H1x	H29	H4x	5.533870
0	4	H26	H1x	H30	H5x	0.025215
0	5	H26	H1x	H31	H6x	-0.211931
0	6	H26	H1x	H32	H7x	-0.065946
0	7	H26	H1x	H33	H8x	-0.213295
0	8	H26	H1x	H34	H9x	0.047013
0	9	H26	H1x	H35	H10x	-0.127829
0	10	H26	H1x	H36	H11x	-0.044167
0	11	H26	H1x	H37	H12x	-0.185477
0	12	H26	H1x	H38	H13x	-0.116275
0	13	H26	H1x	H39	H14x	-0.271974
0	14	H26	H1x	H40	H15x	-0.310449
0	15	H26	H1x	H41	H16x	-0.168558
0	16	H26	H1x	H42	H17x	-0.184804
0	17	H26	H1x	H43	H18x	-0.154550
0	18	H26	H1x	H44	H19x	-0.175708
0	19	H26	H1x	H45	H20x	-0.164322
0	20	H26	H1x	H46	H21x	-0.166175
0	21	H26	H1x	H47	H22x	-0.138197
1	2	H27	H2x	H28	H3x	3.960322
1	3	H27	H2x	H29	H4x	-0.198625
1	4	H27	H2x	H30	H5x	-0.171989
1	5	H27	H2x	H31	H6x	-0.125120
1	6	H27	H2x	H32	H7x	-0.228945
1	7	H27	H2x	H33	H8x	-0.193299
1	8	H27	H2x	H34	H9x	-0.145662
1	9	H27	H2x	H35	H10x	-0.210030
1	10	H27	H2x	H36	H11x	-0.107533
1	11	H27	H2x	H37	H12x	-0.165638
1	12	H27	H2x	H38	H13x	-0.112595
1	13	H27	H2x	H39	H14x	-0.231200
1	14	H27	H2x	H40	H15x	-0.151730
1	15	H27	H2x	H41	H16x	-0.094795
1	16	H27	H2x	H42	H17x	-0.168919
1	17	H27	H2x	H43	H18x	-0.152015
1	18	H27	H2x	H44	H19x	-0.167473
1	19	H27	H2x	H45	H20x	-0.174467
1	20	H27	H2x	H46	H21x	-0.188428
1	21	H27	H2x	H47	H22x	-0.183580
2	3	H28	H3x	H29	H4x	0.385828
2	4	H28	H3x	H30	H5x	-0.227277
2	5	H28	H3x	H31	H6x	-0.140903
2	6	H28	H3x	H32	H7x	-0.207435
2	7	H28	H3x	H33	H8x	-0.194869
2	8	H28	H3x	H34	H9x	-0.290652
2	9	H28	H3x	H35	H10x	-0.227536
2	10	H28	H3x	H36	H11x	-0.089408
2	11	H28	H3x	H37	H12x	-0.186596
2	12	H28	H3x	H38	H13x	0.055138
2	13	H28	H3x	H39	H14x	-0.319374
2	14	H28	H3x	H40	H15x	-0.235773
2	15	H28	H3x	H41	H16x	0.144473
2	16	H28	H3x	H42	H17x	-0.146958
2	17	H28	H3x	H43	H18x	-0.154762
2	18	H28	H3x	H44	H19x	-0.173646
2	19	H28	H3x	H45	H20x	-0.183292
2	20	H28	H3x	H46	H21x	-0.190824
2	21	H28	H3x	H47	H22x	-0.207315
3	4	H29	H4x	H30	H5x	0.694240
3	5	H29	H4x	H31	H6x	-0.050723
3	6	H29	H4x	H32	H7x	0.120321
3	7	H29	H4x	H33	H8x	-0.173711
3	8	H29	H4x	H34	H9x	0.783874
3	9	H29	H4x	H35	H10x	-0.015336
3	10	H29	H4x	H36	H11x	0.137883
3	11	H29	H4x	H37	H12x	-0.156509
3	12	H29	H4x	H38	H13x	-0.100361
3	13	H29	H4x	H39	H14x	-0.152416
3	14	H29	H4x	H40	H15x	-0.219287
3	15	H29	H4x	H41	H16x	-0.202490
3	16	H29	H4x	H42	H17x	-0.198444
3	17	H29	H4x	H43	H18x	-0.158832
3	18	H29	H4x	H44	H19x	-0.188748
3	19	H29	H4x	H45	H20x	-0.147488
3	20	H29	H4x	H46	H21x	-0.131988
3	21	H29	H4x	H47	H22x	-0.076136
4	5	H30	H5x	H31	H6x	-15.895421
4	6	H30	H5x	H32	H7x	9.173154
4	7	H30	H5x	H33	H8x	7.453446
4	8	H30	H5x	H34	H9x	0.292985
4	9	H30	H5x	H35	H10x	-0.260762
4	10	H30	H5x	H36	H11x	-0.201837
4	11	H30	H5x	H37	H12x	-0.371696
4	12	H30	H5x	H38	H13x	-0.268088
4	13	H30	H5x	H39	H14x	-0.502489
4	14	H30	H5x	H40	H15x	-0.236471
4	15	H30	H5x	H41	H16x	-0.241063
4	16	H30	H5x	H42	H17x	-0.145076
4	17	H30	H5x	H43	H18x	-0.255305
4	18	H30	H5x	H44	H19x	-0.241498
4	19	H30	H5x	H45	H20x	-0.208300
4	20	H30	H5x	H46	H21x	-0.257723
4	21	H30	H5x	H47	H22x	-0.224051
5	6	H31	H6x	H32	H7x	1.448059
5	7	H31	H6x	H33	H8x	7.046687
5	8	H31	H6x	H34	H9x	-0.765678
5	9	H31	H6x	H35	H10x	0.337274
5	10	H31	H6x	H36	H11x	-0.181536
5	11	H31	H6x	H37	H12x	-0.328950
5	12	H31	H6x	H38	H13x	-0.230371
5	13	H31	H6x	H39	H14x	0.474268
5	14	H31	H6x	H40	H15x	-0.066593
5	15	H31	H6x	H41	H16x	-0.194009
5	16	H31	H6x	H42	H17x	-0.190073
5	17	H31	H6x	H43	H18x	-0.189453
5	18	H31	H6x	H44	H19x	-0.116754
5	19	H31	H6x	H45	H20x	-0.001697
5	20	H31	H6x	H46	H21x	-0.051281
5	21	H31	H6x	H47	H22x	-0.313449
6	7	H32	H7x	H33	H8x	-14.887875
6	8	H32	H7x	H34	H9x	-0.359837
6	9	H32	H7x	H35	H10x	-0.244775
6	10	H32	H7x	H36	H11x	-0.242476
6	11	H32	H7x	H37	H12x	-0.283947
6	12	H32	H7x	H38	H13x	-0.306161
6	13	H32	H7x	H39	H14x	-0.064690
6	14	H32	H7x	H40	H15x	-0.205758
6	15	H32	H7x	H41	H16x	-0.239885
6	16	H32	H7x	H42	H17x	-0.252227
6	17	H32	H7x	H43	H18x	-0.266195
6	18	H32	H7x	H44	H19x	-0.185241
6	19	H32	H7x	H45	H20x	-0.032570
6	20	H32	H7x	H46	H21x	-0.232252
6	21	H32	H7x	H47	H22x	-0.805278
7	8	H33	H8x	H34	H9x	-1.109876
7	9	H33	H8x	H35	H10x	-0.308284
7	10	H33	H8x	H36	H11x	-0.218480
7	11	H33	H8x	H37	H12x	-0.238471
7	12	H33	H8x	H38	H13x	-0.247727
7	13	H33	H8x	H39	H14x	0.763131
7	14	H33	H8x	H40	H15x	-0.071477
7	15	H33	H8x	H41	H16x	-0.185629
7	16	H33	H8x	H42	H17x	-0.183209
7	17	H33	H8x	H43	H18x	-0.141482
7	18	H33	H8x	H44	H19x	-0.016145
7	19	H33	H8x	H45	H20x	0.434359
7	20	H33	H8x	H46	H21x	0.417237
7	21	H33	H8x	H47	H22x	-0.796824
8	9	H34	H9x	H35	H10x	2.651978
8	10	H34	H9x	H36	H11x	2.296971
8	11	H34	H9x	H37	H12x	-0.300455
8	12	H34	H9x	H38	H13x	0.117696
8	13	H34	H9x	H39	H14x	-0.605610
8	14	H34	H9x	H40	H15x	-0.245340
8	15	H34	H9x	H41	H16x	-0.177533
8	16	H34	H9x	H42	H17x	-0.267259
8	17	H34	H9x	H43	H18x	-0.258137
8	18	H34	H9x	H44	H19x	-0.325185
8	19	H34	H9x	H45	H20x	-0.338128
8	20	H34	H9x	H46	H21x	-0.774726
8	21	H34	H9x	H47	H22x	0.232997
9	10	H35	H10x	H36	H11x	-12.717778
9	11	H35	H10x	H37	H12x	4.679615
9	12	H35	H10x	H38	H13x	0.118800
9	13	H35	H10x	H39	H14x	-0.291319
9	14	H35	H10x	H40	H15x	-0.164218
9	15	H35	H10x	H41	H16x	-0.166366
9	16	H35	H10x	H42	H17x	-0.154432
9	17	H35	H10x	H43	H18x	-0.041533
9	18	H35	H10x	H44	H19x	-0.257693
9	19	H35	H10x	H45	H20x	-0.224078
9	20	H35	H10x	H46	H21x	-0.344564
9	21	H35	H10x	H47	H22x	0.472774
10	11	H36	H11x	H37	H12x	1.524613
10	12	H36	H11x	H38	H13x	0.637132
10	13	H36	H11x	H39	H14x	-0.294841
10	14	H36	H11x	H40	H15x	-0.183752
10	15	H36	H11x	H41	H16x	0.092512
10	16	H36	H11x	H42	H17x	0.105646
10	17	H36	H11x	H43	H18x	-0.109130
10	18	H36	H11x	H44	H19x	-0.301930
10	19	H36	H11x	H45	H20x	0.148975
10	20	H36	H11x	H46	H21x	-0.647370
10	21	H36	H11x	H47	H22x	-0.191640
11	12	H37	H12x	H38	H13x	1.774257
11	13	H37	H12x	H39	H14x	-0.876630
11	14	H37	H12x	H40	H15x	0.196410
11	15	H37	H12x	H41	H16x	0.273915
11	16	H37	H12x	H42	H17x	0.462552
11	17	H37	H12x	H43	H18x	2.559866
11	18	H37	H12x	H44	H19x	-0.090279
11	19	H37	H12x	H45	H20x	-4.619258
11	20	H37	H12x	H46	H21x	-1.827177
11	21	H37	H12x	H47	H22x	-2.616682
12	13	H38	H13x	H39	H14x	5.803571
12	14	H38	H13x	H40	H15x	0.164856
12	15	H38	H13x	H41	H16x	0.773109
12	16	H38	H13x	H42	H17x	1.200230
12	17	H38	H13x	H43	H18x	-0.082883
12	18	H38	H13x	H44	H19x	-0.327964
12	19	H38	H13x	H45	H20x	-0.393191
12	20	H38	H13x	H46	H21x	-0.007571
12	21	H38	H13x	H47	H22x	-0.245896
13	14	H39	H14x	H40	H15x	0.097864
13	15	H39	H14x	H41	H16x	-0.289448
13	16	H39	H14x	H42	H17x	-0.715029
13	17	H39	H14x	H43	H18x	-0.123314
13	18	H39	H14x	H44	H19x	-0.105259
13	19	H39	H14x	H45	H20x	0.158995
13	20	H39	H14x	H46	H21x	0.246583
13	21	H39	H14x	H47	H22x	-0.295905
14	15	H40	H15x	H41	H16x	-16.416907
14	16	H40	H15x	H42	H17x	0.500675
14	17	H40	H15x	H43	H18x	-0.201121
14	18	H40	H15x	H44	H19x	-0.078753
