# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	72.970455	120.929581
1	C2x	C	58.469180	135.430856
2	C3x	C	70.645836	123.254201
3	C4x	C	46.319882	147.580154
4	C5x	C	60.996768	132.903268
5	C6x	C	72.023536	121.876501
6	C7x	C	137.542464	56.357572
7	C8x	C	155.642460	38.257576
8	C9x	C	134.805726	59.094311
9	N1x	N	209.763951	nan
10	C10x	C	129.409588	64.490448
11	C11x	C	166.376300	27.523737
12	C12x	C	162.441985	31.458051
13	C13x	C	145.493979	48.406058
14	C14x	C	129.881776	64.018260
15	N2x	N	123.298313	nan
16	C15x	C	21.803489	172.096548
17	O1x	O	-175.023644	nan
18	C16x	C	151.556091	42.343946
19	C17x	C	112.121531	81.778506
20	O2x	O	284.587562	nan
21	C18x	C	129.781651	64.118385
22	C19x	C	58.039713	135.860323
23	C20x	C	42.861716	151.038320
24	C21x	C	140.274048	53.625988
25	H1x	H	24.818221	6.798774
26	H2x	H	24.003657	7.613338
27	H3x	H	23.666855	7.950140
28	H4x	H	24.385301	7.231695
29	H5x	H	30.079465	1.537530
30	H6x	H	29.633548	1.983447
31	H7x	H	28.174124	3.442872
32	H8x	H	29.138213	2.478782
33	H9x	H	27.791530	3.825465
34	H10x	H	29.572893	2.044103
35	H11x	H	30.118833	1.498163
36	H12x	H	28.965951	2.651044
37	H13x	H	30.761175	0.855821
38	H14x	H	27.539706	4.077290
39	H15x	H	28.876745	2.740250
40	H16x	H	29.088406	2.528590
41	H17x	H	28.050047	3.566949
42	H18x	H	27.997222	3.619773
43	H19x	H	27.679903	3.937093
44	H20x	H	25.588308	6.028687
45	H21x	H	28.756482	2.860514
46	H22x	H	27.856142	3.760854
